trans_date_trans_time,merchant,category,amt,gender,city,state,zip,city_pop,job,hour,day,month,day_of_week,age,distance,is_fraud,fraud_label,fraud_prob,predicted_fraud,predicted_label,risk_level,lat,long,merch_lat,merch_long
2019-01-01 00:00:18,"fraud_Rippin, Kub and Mann",misc_net,4.97,F,Moravian Falls,NC,28654,3495,"Psychologist, counselling",0,1,1,1,30,0.8728295029809676,0,Legitimate,0.1679022366522366,0,Legitimate,Low,36.0788,-81.1781,36.011293,-82.048315
2019-01-01 00:00:44,"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,F,Orient,WA,99160,149,Special educational needs teacher,0,1,1,1,40,0.2723100447155794,0,Legitimate,0.1208968253968254,0,Legitimate,Low,48.8878,-118.2105,49.159047,-118.186462
2019-01-01 00:00:51,fraud_Lind-Buckridge,entertainment,220.11,M,Malad City,ID,83252,4154,Nature conservation officer,0,1,1,1,56,0.975845328203706,0,Legitimate,0.1032279942279942,0,Legitimate,Low,42.1808,-112.262,43.150704,-112.154481
2019-01-01 00:01:16,"fraud_Kutch, Hermiston and Farrell",gas_transport,45.0,M,Boulder,MT,59632,1939,Patent attorney,0,1,1,1,51,0.9198015371817984,0,Legitimate,0.1354047619047619,0,Legitimate,Low,46.2306,-112.1138,47.034331,-112.561071
2019-01-01 00:03:06,fraud_Keeling-Crist,misc_pos,41.96,M,Doe Hill,VA,24433,99,Dance movement psychotherapist,0,1,1,1,32,0.8685045975019442,0,Legitimate,0.0524920634920635,0,Legitimate,Low,38.4207,-79.4629,38.674999,-78.632459
2019-01-01 00:04:08,"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,F,Dublin,PA,18917,2158,Transport planner,0,1,1,1,57,0.9881888472417728,0,Legitimate,0.1004603174603174,0,Legitimate,Low,40.375,-75.2045,40.653382,-76.15266700000001
2019-01-01 00:04:42,fraud_Rowe-Vandervort,grocery_net,44.54,F,Holcomb,KS,67851,2691,Arboriculturist,0,1,1,1,25,1.178276207400031,0,Legitimate,0.1366230158730159,0,Legitimate,Low,37.9931,-100.9893,37.162705,-100.15337
2019-01-01 00:05:08,fraud_Corwin-Collins,gas_transport,71.65,M,Edinburg,VA,22824,6018,"Designer, multimedia",0,1,1,1,71,0.1208394899732731,0,Legitimate,0.1112579365079365,0,Legitimate,Low,38.8432,-78.6003,38.948089,-78.540296
2019-01-01 00:05:18,fraud_Herzog Ltd,misc_pos,4.27,F,Manor,PA,15665,1472,Public affairs consultant,0,1,1,1,77,0.2978713589538211,0,Legitimate,0.0915952380952381,0,Legitimate,Low,40.3359,-79.6607,40.351813,-79.958146
2019-01-01 00:06:01,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,F,Clarksville,TN,37040,151785,Pathologist,0,1,1,1,44,0.6711996635614512,0,Legitimate,0.0863333333333333,0,Legitimate,Low,36.522,-87.34899999999999,37.179198,-87.485381
2019-01-01 00:06:23,fraud_Rutherford-Mertz,grocery_pos,24.74,M,Clarinda,IA,51632,7297,IT trainer,0,1,1,1,28,1.0824612999941443,0,Legitimate,0.1612142857142857,0,Legitimate,Low,40.7491,-95.038,40.275891,-96.011548
2019-01-01 00:06:53,fraud_Kerluke-Abshire,shopping_net,7.77,F,Shenandoah Junction,WV,25442,1925,Systems developer,0,1,1,1,52,1.085684265906525,0,Legitimate,0.0960952380952381,0,Legitimate,Low,39.3716,-77.8229,40.103866,-78.624459
2019-01-01 00:06:56,fraud_Lockman Ltd,grocery_pos,71.22,M,Saint Petersburg,FL,33710,341043,"Engineer, land",0,1,1,1,29,0.4448724605209867,0,Legitimate,0.1116190476190476,0,Legitimate,Low,27.7898,-82.7243,27.630593,-82.308891
2019-01-01 00:07:27,fraud_Kiehn Inc,grocery_pos,96.29,M,Grenada,CA,96038,589,Systems analyst,0,1,1,1,73,0.2988633058925191,0,Legitimate,0.0918849206349206,0,Legitimate,Low,41.6125,-122.5258,41.65752,-122.230347
2019-01-01 00:09:03,fraud_Beier-Hyatt,shopping_pos,7.77,M,High Rolls Mountain Park,NM,88325,899,Naval architect,0,1,1,1,51,0.7054479456267531,0,Legitimate,0.1196688311688311,0,Legitimate,Low,32.9396,-105.8189,32.863258,-106.520205
2019-01-01 00:09:20,fraud_Schmidt and Sons,shopping_net,3.26,M,Harrington Park,NJ,7640,4664,"Radiographer, diagnostic",0,1,1,1,53,0.9115760606537442,0,Legitimate,0.026,0,Legitimate,Low,40.9918,-73.98,41.831174,-74.335559
2019-01-01 00:10:49,fraud_Lebsack and Sons,misc_net,327.0,F,Lahoma,OK,73754,1078,"Programme researcher, broadcasting/film/video",0,1,1,1,66,0.9757724224674584,0,Legitimate,0.5268322510822511,1,Fraudulent,Medium,36.385,-98.0727,36.384092,-99.048472
2019-01-01 00:10:58,fraud_Mayert Group,shopping_pos,341.67,M,Carlisle,IN,47838,4081,Energy engineer,0,1,1,1,80,0.9863749302217768,0,Legitimate,0.3707023809523809,0,Legitimate,Medium,38.9763,-87.3667,38.674491,-88.305767
2019-01-01 00:11:14,"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,M,Harborcreek,PA,16421,2518,Event organiser,0,1,1,1,72,0.8710883891345317,0,Legitimate,0.1222712842712842,0,Legitimate,Low,42.1767,-79.9416,41.430274,-79.492553
2019-01-01 00:12:34,"fraud_Schultz, Simonis and Little",grocery_pos,44.71,M,Elizabeth,NJ,7208,124967,Operational researcher,0,1,1,1,38,0.8624196794560004,0,Legitimate,0.0858730158730158,0,Legitimate,Low,40.6747,-74.2239,40.079588,-74.84808699999999
2019-01-01 00:13:08,fraud_Bauch-Raynor,grocery_pos,57.34,M,Methuen,MA,1844,47249,Market researcher,0,1,1,1,38,0.4606721717327859,0,Legitimate,0.0725238095238095,0,Legitimate,Low,42.728,-71.181,42.26876,-71.217297
2019-01-01 00:14:37,fraud_Harris Inc,gas_transport,50.79,M,Moulton,IA,52572,1132,Probation officer,0,1,1,1,57,0.8820027341936044,0,Legitimate,0.0684523809523809,0,Legitimate,Low,40.6866,-92.6833,40.18893,-91.955115
2019-01-01 00:17:16,fraud_Kling-Grant,grocery_net,46.28,F,Plainfield,NJ,7060,71485,Leisure centre manager,0,1,1,1,44,0.6220272121764502,0,Legitimate,0.1438968253968253,0,Legitimate,Low,40.6152,-74.415,40.021888,-74.228188
2019-01-01 00:17:40,fraud_Pacocha-Bauch,shopping_pos,9.55,F,May,TX,76857,1791,Corporate investment banker,0,1,1,1,53,0.4854760067449243,0,Legitimate,0.1032994227994228,0,Legitimate,Low,31.9571,-98.9656,31.62635,-98.610225
2019-01-01 00:18:06,fraud_Lesch Ltd,shopping_pos,22.95,M,Waukesha,WI,53186,95015,"Therapist, occupational",0,1,1,1,72,0.9160693561657888,0,Legitimate,0.0903481240981241,0,Legitimate,Low,42.9993,-88.2196,43.375041,-89.055065
2019-01-01 00:18:07,fraud_Kunde-Sanford,misc_net,2.55,F,Bailey,NC,27807,6629,Call centre manager,0,1,1,1,56,1.1113771177237686,0,Legitimate,0.1046033688533688,0,Legitimate,Low,35.8072,-78.0892,36.74987,-78.67787
2019-01-01 00:20:15,fraud_Deckow-O'Conner,grocery_pos,64.09,M,Romulus,MI,48174,31515,Police officer,0,1,1,1,47,0.2393271905404826,0,Legitimate,0.0708174603174603,0,Legitimate,Low,42.2203,-83.3583,42.360426,-83.552316
2019-01-01 00:21:32,fraud_Bruen-Yost,misc_pos,6.85,M,Freedom,WY,83120,471,"Education officer, museum",0,1,1,1,51,0.8507196241735504,0,Legitimate,0.1868314740814741,0,Legitimate,Low,43.0172,-111.0292,43.753735,-111.454923
2019-01-01 00:22:06,fraud_Kunze Inc,grocery_pos,90.22,M,Honokaa,HI,96727,4878,Physiotherapist,0,1,1,1,52,0.7644879569293326,0,Legitimate,0.0801052836052836,0,Legitimate,Low,20.0827,-155.488,19.560013,-156.045889
2019-01-01 00:22:18,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,M,Valentine,NE,69201,4005,Network engineer,0,1,1,1,73,0.7242131867178327,0,Legitimate,0.0733571428571428,0,Legitimate,Low,42.8062,-100.6215,42.47559,-101.265846
2019-01-01 00:22:36,"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,F,Westfir,OR,97492,597,Forensic psychologist,0,1,1,1,57,0.8452577662476622,0,Legitimate,0.0953494560994561,0,Legitimate,Low,43.7575,-122.481,44.278191,-121.815161
